Product,Type,Release Date,Process Size (nm),TDP (W),DieSizeValue,Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor
AMD EPYC 7502,CPU,2019-08-07,7.0,180.0,74.0,74,3800.0,2500.0,TSMC,AMD
AMD EPYC 7502P,CPU,2019-08-07,7.0,180.0,74.0,74,3800.0,2500.0,TSMC,AMD
AMD EPYC 7542,CPU,2019-08-07,7.0,225.0,74.0,74,3800.0,2900.0,TSMC,AMD
AMD EPYC 7552,CPU,2019-08-07,7.0,200.0,74.0,74,3800.0,2200.0,TSMC,AMD
AMD EPYC 7642,CPU,2019-08-07,7.0,225.0,74.0,74,3800.0,2400.0,TSMC,AMD
AMD EPYC 7702,CPU,2019-08-07,7.0,200.0,74.0,74,3800.0,2000.0,TSMC,AMD
AMD EPYC 7702P,CPU,2019-08-07,7.0,200.0,74.0,74,3800.0,2000.0,TSMC,AMD
AMD EPYC 7742,CPU,2019-08-07,7.0,225.0,74.0,74,3800.0,2250.0,TSMC,AMD
AMD EPYC 7H12,CPU,2019-09-18,7.0,280.0,74.0,74,3800.0,2600.0,TSMC,AMD
AMD Ryzen 5 3500X,CPU,2019-09-24,7.0,65.0,74.0,74,3800.0,3600.0,TSMC,AMD
AMD Ryzen 5 3600,CPU,2019-07-07,7.0,65.0,74.0,74,3800.0,3600.0,TSMC,AMD
AMD Ryzen 5 3600X,CPU,2019-07-07,7.0,95.0,74.0,74,3800.0,3800.0,TSMC,AMD
AMD Ryzen 5 3600XT,CPU,2019-07-07,7.0,95.0,74.0,74,3800.0,3800.0,TSMC,AMD
AMD Ryzen 7 3700X,CPU,2019-07-07,7.0,65.0,74.0,74,3800.0,3600.0,TSMC,AMD
AMD Ryzen 7 3800X,CPU,2019-07-07,7.0,105.0,74.0,74,3800.0,3900.0,TSMC,AMD
Intel Core i5-8279U,CPU,2019-04-03,14.0,28.0,126.0,126,2300.0,2400.0,Intel,Intel
AMD EPYC 7F32,CPU,2020-04-14,7.0,180.0,74.0,74,3800.0,3700.0,TSMC,AMD
AMD EPYC 7F52,CPU,2020-04-14,7.0,155.0,74.0,74,3800.0,3500.0,TSMC,AMD
AMD EPYC 7F72,CPU,2020-04-14,7.0,240.0,74.0,74,3800.0,3200.0,TSMC,AMD
AMD Ryzen 3 3100,CPU,2020-04-24,7.0,65.0,74.0,74,3800.0,3600.0,TSMC,AMD
AMD Ryzen 3 3300X,CPU,2020-04-24,7.0,65.0,74.0,74,3800.0,3800.0,TSMC,AMD
AMD Ryzen 3 4300G,CPU,2020-07-21,7.0,65.0,156.0,156,9800.0,3800.0,TSMC,AMD
AMD Ryzen 3 4300GE,CPU,2020-07-21,7.0,35.0,156.0,156,9800.0,3500.0,TSMC,AMD
AMD Ryzen 3 PRO 4350G,CPU,2020-07-21,7.0,65.0,156.0,156,9800.0,3800.0,TSMC,AMD
AMD Ryzen 3 PRO 4350GE,CPU,2020-07-21,7.0,35.0,156.0,156,9800.0,3500.0,TSMC,AMD
AMD Ryzen 3 PRO 4450U,CPU,2020-05-07,7.0,15.0,156.0,156,9800.0,2400.0,TSMC,AMD
AMD Ryzen 5 4600G,CPU,2020-07-21,7.0,65.0,156.0,156,9800.0,3700.0,TSMC,AMD
AMD Ryzen 5 4600GE,CPU,2020-07-21,7.0,35.0,156.0,156,9800.0,3300.0,TSMC,AMD
AMD Ryzen 5 5600X,CPU,2020-11-05,7.0,65.0,74.0,74,4150.0,3700.0,TSMC,AMD
AMD Ryzen 5 PRO 4650G,CPU,2020-07-21,7.0,65.0,156.0,156,9800.0,3700.0,TSMC,AMD
AMD Ryzen 5 PRO 4650GE,CPU,2020-07-21,7.0,35.0,156.0,156,9800.0,3300.0,TSMC,AMD
AMD Ryzen 5 PRO 4650U,CPU,2020-05-07,7.0,15.0,156.0,156,9800.0,2100.0,TSMC,AMD
AMD Ryzen 7 3800XT,CPU,2020-07-07,7.0,105.0,74.0,74,3800.0,3800.0,TSMC,AMD
AMD Ryzen 7 4700G,CPU,2020-07-21,7.0,65.0,156.0,156,9800.0,3600.0,TSMC,AMD
AMD Ryzen 7 4700GE,CPU,2020-07-21,7.0,35.0,156.0,156,9800.0,3100.0,TSMC,AMD
AMD Ryzen 7 4750U,CPU,2020-05-07,7.0,15.0,156.0,156,9800.0,1700.0,TSMC,AMD
AMD Ryzen 7 5800X,CPU,2020-11-05,7.0,105.0,74.0,74,4150.0,3800.0,TSMC,AMD
AMD Ryzen 7 PRO 4750G,CPU,2020-07-21,7.0,65.0,156.0,156,9800.0,3600.0,TSMC,AMD
AMD Ryzen 7 PRO 4750GE,CPU,2020-07-21,7.0,35.0,156.0,156,9800.0,3100.0,TSMC,AMD
AMD Ryzen 9 4900H,CPU,2020-03-16,7.0,54.0,156.0,156,9800.0,3300.0,TSMC,AMD
AMD Ryzen 9 4900HS,CPU,2020-03-07,7.0,35.0,156.0,156,9800.0,3000.0,TSMC,AMD
AMD Ryzen Embedded R1102G,CPU,2020-02-25,14.0,6.0,209.8,209.8,4950.0,1200.0,GlobalFoundries,AMD
AMD Ryzen Embedded R1305G,CPU,2020-02-25,14.0,10.0,209.8,209.8,4950.0,1500.0,GlobalFoundries,AMD
AMD Ryzen Embedded R1505G,CPU,2020-02-25,14.0,25.0,209.8,209.8,4950.0,2400.0,GlobalFoundries,AMD
AMD Ryzen Embedded R1600,CPU,2020-02-25,14.0,25.0,209.8,209.8,4950.0,2600.0,GlobalFoundries,AMD
AMD Ryzen Embedded R1606G,CPU,2020-02-25,14.0,25.0,209.8,209.8,4950.0,2600.0,GlobalFoundries,AMD
AMD Ryzen Embedded V2516,CPU,2020-11-10,7.0,10.0,156.0,156,9800.0,2100.0,TSMC,AMD
AMD Ryzen Embedded V2546,CPU,2020-11-10,7.0,35.0,156.0,156,9800.0,3000.0,TSMC,AMD
AMD Ryzen Embedded V2718,CPU,2020-11-10,7.0,10.0,156.0,156,9800.0,1700.0,TSMC,AMD
AMD Ryzen Embedded V2748,CPU,2020-11-10,7.0,35.0,156.0,156,9800.0,2900.0,TSMC,AMD
AMD Ryzen 3 5300G,CPU,2021-04-13,7.0,65.0,180.0,180,10700.0,4000.0,TSMC,AMD
AMD Ryzen 3 PRO 5350G,CPU,2021-06-01,7.0,65.0,180.0,180,10700.0,4000.0,TSMC,AMD
AMD Ryzen 3 PRO 5350GE,CPU,2021-06-01,7.0,35.0,180.0,180,10700.0,3600.0,TSMC,AMD
AMD Ryzen 4700S,CPU,2021-06-26,7.0,65.0,308.0,308,10600.0,3600.0,TSMC,AMD
AMD Ryzen 5 5600G,CPU,2021-04-13,7.0,65.0,180.0,180,10700.0,3900.0,TSMC,AMD
AMD Ryzen 5 PRO 5650G,CPU,2021-06-01,7.0,65.0,180.0,180,10700.0,3900.0,TSMC,AMD
AMD Ryzen 5 PRO 5650GE,CPU,2021-06-01,7.0,35.0,180.0,180,10700.0,3400.0,TSMC,AMD
AMD Ryzen 7 5700G,CPU,2021-04-13,7.0,65.0,180.0,180,10700.0,3800.0,TSMC,AMD
AMD Ryzen 7 PRO 5750G,CPU,2021-06-01,7.0,65.0,180.0,180,10700.0,3800.0,TSMC,AMD
AMD Ryzen 7 PRO 5750GE,CPU,2021-06-01,7.0,35.0,180.0,180,10700.0,3200.0,TSMC,AMD
AMD Ryzen 3 4100,CPU,2022-04-04,7.0,65.0,156.0,156,9800.0,3800.0,TSMC,AMD
AMD Ryzen 3 5125C,CPU,2022-05-05,7.0,15.0,180.0,180,10700.0,3000.0,TSMC,AMD
AMD Ryzen 3 5425C,CPU,2022-05-05,7.0,15.0,180.0,180,10700.0,2700.0,TSMC,AMD
AMD Ryzen 3 PRO 5475U,CPU,2022-04-19,7.0,15.0,180.0,180,10700.0,2700.0,TSMC,AMD
AMD Ryzen 5 4500,CPU,2022-04-04,7.0,65.0,156.0,156,9800.0,3600.0,TSMC,AMD
AMD Ryzen 5 5500,CPU,2022-04-04,7.0,65.0,180.0,180,10700.0,3600.0,TSMC,AMD
AMD Ryzen 5 5600,CPU,2022-04-20,7.0,65.0,74.0,74,4150.0,3500.0,TSMC,AMD
AMD Ryzen 5 5625C,CPU,2022-05-05,7.0,15.0,180.0,180,10700.0,2300.0,TSMC,AMD
AMD Ryzen 5 PRO 4655G,CPU,2022-11-11,7.0,65.0,156.0,156,9800.0,3700.0,TSMC,AMD
AMD Ryzen 5 PRO 4655GE,CPU,2022-11-11,7.0,35.0,156.0,156,9800.0,3300.0,TSMC,AMD
AMD Ryzen 5 PRO 5675U,CPU,2022-04-19,7.0,15.0,180.0,180,10700.0,2300.0,TSMC,AMD
AMD Ryzen 7 5700,CPU,2022-04-04,7.0,65.0,180.0,180,10700.0,3700.0,TSMC,AMD
AMD Ryzen 7 5700X,CPU,2022-04-04,7.0,65.0,74.0,74,4150.0,3400.0,TSMC,AMD
AMD Ryzen 7 5800X3D,CPU,2022-04-20,7.0,105.0,74.0,74,8850.0,3400.0,TSMC,AMD
AMD Ryzen 7 5825C,CPU,2022-05-05,7.0,15.0,180.0,180,10700.0,2000.0,TSMC,AMD
AMD Ryzen 7 PRO 5875U,CPU,2022-04-19,7.0,15.0,180.0,180,10700.0,2000.0,TSMC,AMD
AMD Steam Deck CPU (LCD),CPU,2022-02-25,7.0,15.0,163.0,163,2400.0,2400.0,TSMC,AMD
AMD Ryzen 5 5500GT,CPU,2024-01-08,7.0,65.0,180.0,180,10700.0,3600.0,TSMC,AMD
AMD Ryzen 5 5600GT,CPU,2024-01-08,7.0,65.0,180.0,180,10700.0,3600.0,TSMC,AMD
AMD Ryzen 7 5700X3D,CPU,2024-01-08,7.0,105.0,74.0,74,8850.0,3000.0,TSMC,AMD
